SCAN_SN,PCBA_SN,WiFi1MAC,BT_MAC,WiFi2MAC,SCAN_TIME
2432undefined12344234,1945BY0001,28FD80A16E94,28FD80A16E95,28FD80A16E96,
423423432,1945BY0002,28FD80A16E97,28FD80A16E98,28FD80A16E99,
555,1945BY0003,28FD80A16E9A,28FD80A16E9B,28FD80A16E9C,
55222,1945BY0004,28FD80A16E9D,28FD80A16E9E,28FD80A16E9F,
1234243,1945BY0005,28FD80A16EA0,28FD80A16EA1,28FD80A16EA2,
4324321431,1945BY0006,28FD80A16EA3,28FD80A16EA4,28FD80A16EA5,
33backspacebackspacebackspaceundefined111,1945BY0007,28FD80A16EA6,28FD80A16EA7,28FD80A16EA8,
423413,1945BY0008,28FD80A16EA9,28FD80A16EAA,28FD80A16EAB,
43243234234,1945BY0009,28FD80A16EAC,28FD80A16EAD,28FD80A16EAE,
343213,1945BY0010,28FD80A16EAF,28FD80A16EB0,28FD80A16EB1,
234312341324324324,1945BY0011,28FD80A16EB2,28FD80A16EB3,28FD80A16EB4,
3333,1945BY0012,28FD80A16EB5,28FD80A16EB6,28FD80A16EB7,
33332,1945BY0013,28FD80A16EB8,28FD80A16EB9,28FD80A16EBA,
2432,1945BY0014,28FD80A16EBB,28FD80A16EBC,28FD80A16EBD,
333,1945BY0015,28FD80A16EBE,28FD80A16EBF,28FD80A16EC0,
3344,1945BY0016,28FD80A16EC1,28FD80A16EC2,28FD80A16EC3,
443243232,1945BY0017,28FD80A16EC4,28FD80A16EC5,28FD80A16EC6,
1234undefined,1945BY0018,28FD80A16EC7,28FD80A16EC8,28FD80A16EC9,
1234,1945BY0019,28FD80A16ECA,28FD80A16ECB,28FD80A16ECC,
1234,1945BY0020,28FD80A16ECD,28FD80A16ECE,28FD80A16ECF,
,1945BY0021,28FD80A16ED0,28FD80A16ED1,28FD80A16ED2,
,1945BY0022,28FD80A16ED3,28FD80A16ED4,28FD80A16ED5,
,1945BY0023,28FD80A16ED6,28FD80A16ED7,28FD80A16ED8,
,1945BY0024,28FD80A16ED9,28FD80A16EDA,28FD80A16EDB,
,1945BY0025,28FD80A16EDC,28FD80A16EDD,28FD80A16EDE,
,1945BY0026,28FD80A16EDF,28FD80A16EE0,28FD80A16EE1,
,1945BY0027,28FD80A16EE2,28FD80A16EE3,28FD80A16EE4,
,1945BY0028,28FD80A16EE5,28FD80A16EE6,28FD80A16EE7,
,1945BY0029,28FD80A16EE8,28FD80A16EE9,28FD80A16EEA,
,1945BY0030,28FD80A16EEB,28FD80A16EEC,28FD80A16EED,
,1945BY0031,28FD80A16EEE,28FD80A16EEF,28FD80A16EF0,
,1945BY0032,28FD80A16EF1,28FD80A16EF2,28FD80A16EF3,
,1945BY0033,28FD80A16EF4,28FD80A16EF5,28FD80A16EF6,
,1945BY0034,28FD80A16EF7,28FD80A16EF8,28FD80A16EF9,
,1945BY0035,28FD80A16EFA,28FD80A16EFB,28FD80A16EFC,
,1945BY0036,28FD80A16EFD,28FD80A16EFE,28FD80A16EFF,
,1945BY0037,28FD80A16F00,28FD80A16F01,28FD80A16F02,
,1945BY0038,28FD80A16F03,28FD80A16F04,28FD80A16F05,
,1945BY0039,28FD80A16F06,28FD80A16F07,28FD80A16F08,
,1945BY0040,28FD80A16F09,28FD80A16F0A,28FD80A16F0B,
,1945BY0041,28FD80A16F0C,28FD80A16F0D,28FD80A16F0E,
,1945BY0042,28FD80A16F0F,28FD80A16F10,28FD80A16F11,
,1945BY0043,28FD80A16F12,28FD80A16F13,28FD80A16F14,
,1945BY0044,28FD80A16F15,28FD80A16F16,28FD80A16F17,
,1945BY0045,28FD80A16F18,28FD80A16F19,28FD80A16F1A,
,1945BY0046,28FD80A16F1B,28FD80A16F1C,28FD80A16F1D,
,1945BY0047,28FD80A16F1E,28FD80A16F1F,28FD80A16F20,
,1945BY0048,28FD80A16F21,28FD80A16F22,28FD80A16F23,
,1945BY0049,28FD80A16F24,28FD80A16F25,28FD80A16F26,
,1945BY0050,28FD80A16F27,28FD80A16F28,28FD80A16F29,
,1945BY0051,28FD80A16F2A,28FD80A16F2B,28FD80A16F2C,
,1945BY0052,28FD80A16F2D,28FD80A16F2E,28FD80A16F2F,
,1945BY0053,28FD80A16F30,28FD80A16F31,28FD80A16F32,
,1945BY0054,28FD80A16F33,28FD80A16F34,28FD80A16F35,
,1945BY0055,28FD80A16F36,28FD80A16F37,28FD80A16F38,
,1945BY0056,28FD80A16F39,28FD80A16F3A,28FD80A16F3B,
,1945BY0057,28FD80A16F3C,28FD80A16F3D,28FD80A16F3E,
,1945BY0058,28FD80A16F3F,28FD80A16F40,28FD80A16F41,
,1945BY0059,28FD80A16F42,28FD80A16F43,28FD80A16F44,
,1945BY0060,28FD80A16F45,28FD80A16F46,28FD80A16F47,
,1945BY0061,28FD80A16F48,28FD80A16F49,28FD80A16F4A,
,1945BY0062,28FD80A16F4B,28FD80A16F4C,28FD80A16F4D,
,1945BY0063,28FD80A16F4E,28FD80A16F4F,28FD80A16F50,
,1945BY0064,28FD80A16F51,28FD80A16F52,28FD80A16F53,
,1945BY0065,28FD80A16F54,28FD80A16F55,28FD80A16F56,
,1945BY0066,28FD80A16F57,28FD80A16F58,28FD80A16F59,
,1945BY0067,28FD80A16F5A,28FD80A16F5B,28FD80A16F5C,
,1945BY0068,28FD80A16F5D,28FD80A16F5E,28FD80A16F5F,
,1945BY0069,28FD80A16F60,28FD80A16F61,28FD80A16F62,
,1945BY0070,28FD80A16F63,28FD80A16F64,28FD80A16F65,
,1945BY0071,28FD80A16F66,28FD80A16F67,28FD80A16F68,
,1945BY0072,28FD80A16F69,28FD80A16F6A,28FD80A16F6B,
,1945BY0073,28FD80A16F6C,28FD80A16F6D,28FD80A16F6E,
,1945BY0074,28FD80A16F6F,28FD80A16F70,28FD80A16F71,
,1945BY0075,28FD80A16F72,28FD80A16F73,28FD80A16F74,
,1945BY0076,28FD80A16F75,28FD80A16F76,28FD80A16F77,
,1945BY0077,28FD80A16F78,28FD80A16F79,28FD80A16F7A,
,1945BY0078,28FD80A16F7B,28FD80A16F7C,28FD80A16F7D,
,1945BY0079,28FD80A16F7E,28FD80A16F7F,28FD80A16F80,
,1945BY0080,28FD80A16F81,28FD80A16F82,28FD80A16F83,
,1945BY0081,28FD80A16F84,28FD80A16F85,28FD80A16F86,
,1945BY0082,28FD80A16F87,28FD80A16F88,28FD80A16F89,
,1945BY0083,28FD80A16F8A,28FD80A16F8B,28FD80A16F8C,
,1945BY0084,28FD80A16F8D,28FD80A16F8E,28FD80A16F8F,
,1945BY0085,28FD80A16F90,28FD80A16F91,28FD80A16F92,
,1945BY0086,28FD80A16F93,28FD80A16F94,28FD80A16F95,
,1945BY0087,28FD80A16F96,28FD80A16F97,28FD80A16F98,
,1945BY0088,28FD80A16F99,28FD80A16F9A,28FD80A16F9B,
,1945BY0089,28FD80A16F9C,28FD80A16F9D,28FD80A16F9E,
,1945BY0090,28FD80A16F9F,28FD80A16FA0,28FD80A16FA1,
,1945BY0091,28FD80A16FA2,28FD80A16FA3,28FD80A16FA4,
,1945BY0092,28FD80A16FA5,28FD80A16FA6,28FD80A16FA7,
,1945BY0093,28FD80A16FA8,28FD80A16FA9,28FD80A16FAA,
,1945BY0094,28FD80A16FAB,28FD80A16FAC,28FD80A16FAD,
,1945BY0095,28FD80A16FAE,28FD80A16FAF,28FD80A16FB0,
,1945BY0096,28FD80A16FB1,28FD80A16FB2,28FD80A16FB3,
,1945BY0097,28FD80A16FB4,28FD80A16FB5,28FD80A16FB6,
,1945BY0098,28FD80A16FB7,28FD80A16FB8,28FD80A16FB9,
,1945BY0099,28FD80A16FBA,28FD80A16FBB,28FD80A16FBC,
,1945BY0100,28FD80A16FBD,28FD80A16FBE,28FD80A16FBF,
,1945BY0101,28FD80A16FC0,28FD80A16FC1,28FD80A16FC2,
,1945BY0102,28FD80A16FC3,28FD80A16FC4,28FD80A16FC5,
,1945BY0103,28FD80A16FC6,28FD80A16FC7,28FD80A16FC8,
,1945BY0104,28FD80A16FC9,28FD80A16FCA,28FD80A16FCB,
